,0
0,"Кулинария, рецепты_w"
1,Молодёжное движение_m
2,Игры_m
3,1.0_m
4,Образование_m
5,Автомобили_m
6,Городское сообщество_w
7,1.0_w
8,relatives__type_sibling_w
9,2.0_m
10,2.0_w
11,Молодёжное движение_w
12,Уход за собой_w
13,Юмор_m
14,followers_count_m
15,relatives__type_sibling_m
16,Футбол_m
17,year_w
18,Творчество_m
19,Образование_w
20,Интернет-СМИ_w
21,year_m
22,Наука_w
23,Публичная страница_m
24,Музыкант_m
25,Бизнес_w
26,Отношения полов_w
27,Музыкант_w
28,Фотография_m
29,Открытая группа_m
30,Наука_m
31,"Туризм, путешествия_w"
32,"Кулинария, рецепты_m"
33,Открытая группа_w
34,0.0_w
35,Философия_m
36,Отношения полов_m
37,Культура_m
38,"Шоу, передача_m"
39,"Стиль, одежда, обувь_m"
40,"Туризм, путешествия_m"
41,followers_count_w
42,Творчество_w
43,likes_gr_17_m
44,Кино_w
45,"Стиль, одежда, обувь_w"
46,can_see_all_posts_m
47,universities__education_form_Очное отделение_m
48,Юмор_w
49,Интернет-СМИ_m
50,Философия_w
51,Музыка_m
52,relatives__type_parent_w
53,likes_gr_10_w
54,Культура_w
55,Бизнес_m
56,universities__education_form_Очное отделение_w
57,Закрытая группа_m
58,likes_gr_6_m
59,Литература_w
60,0.0_m
61,likes_gr_10_m
62,can_see_all_posts_w
63,Игры_w
64,Общество_m
65,likes_gr_3_m
66,Здоровый образ жизни_w
67,likes_gr_25_w
68,relatives__type_parent_m
69,Музыка_w
70,Закрытая группа_w
71,likes_gr_23_w
72,dayvinchik_m
73,Кино_m
74,likes_gr_19_m
75,last_seen__platform_2.0_w
76,likes_gr_13_w
